"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"18796345311","","","2010-07-17 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Un duende te invita a soñar....","","","",""
"18650043299","","","2010-07-16 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bunbury1: ""Sí, las estrellas te iluminan y te sirven de guía
te sientes tan fuerte que piensas
que nadie te puede tocar."" HdS","","","",""
"18574301707","","","2010-07-15 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","se corto la luzzzzzzz","","","",""
"18509487686","","","2010-07-14 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Con este frio, se muere  algun cuervo hoy, amargos pechos frios.. ..llendo al trabajo","","","",""
"18399187147","","","2010-07-13 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Maldita suerte","","","",""
"18232865753","","","2010-07-11 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ADIOS COMPAÑEROS, ADIOS, es momento de marcharse","","","",""
"18205651988","18094970891","74591231","2010-07-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Gabdivia: que gran verdad, pero cuanto las necesitamos, saludos","","","",""
"18205701738","","","2010-07-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Una sed de ilusiones infinita.","","","",""
"18206129795","","106876550","2010-07-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@bunbury1 el 13 de agosto es mi cumpleaños, festejemos en argentina. ajjaja saludos","","","",""
"17856705429","","","2010-07-06 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Copi_Corellano @juanps82 ESPERO Y DESEO QUE VA A SER PRONTO, CUANDO PRESENTEMOS EL DISCO EN BUENOS AIRES Y A PARTIR DE AGOSTO x  LUGARES","","","",""
"17739982173","","","2010-07-04 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @juanps82: PCA BUNBURY http://undesquiciado.blogspot.com","","","",""
"17630544386","17627024496","111055828","2010-07-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@LaLocaDora dirian unos sabios, ""la locura nunca tuvo maestro..."" un abrazo desquiciado.","","","",""
"17635808496","17634563986","37093819","2010-07-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@wqueijeiro hola walter, como esta messi? Tamos muy nerviosos, abrazo","","","",""
"17635891588","","","2010-07-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @LaLocaDora: ¡Otra Loca más! RT @juanps82 ""GENTE COMPLETAMENTE LOCA"" http://bit.ly/aJUGHp ¡LocaLinda! GRACIAS, SOS UNA IDOLA.","","","",""
"17636017269","17118072464","65102300","2010-07-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Copi_Corellano Vas a estar con y de ellos y confidente? Seria un placer, avisame cuando toque x ahi. Saludos sr. Musico","","","",""
"17580961803","","","2010-07-02 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Heroes +  Bunbury para entendidos.
 http://undesquiciado.blogspot.com/2010/07/heroes-bunbury.html?spref=tw","","","",""
